attribute_id,listing_id,bedrooms,bathrooms,floor_number,total_floors,year_built,is_rented,tenant_count,furnishing_status,metro_distance_km,parking_available,power_backup
134,l00134,3,3,3,17,2015,False,0,semi-furnished,0.26,True,False
135,l00135,5,3,20,31,2018,True,4,furnished,3.87,False,True
137,l00137,3,4,11,16,2007,True,3,semi-furnished,2.5,True,False
138,l00138,2,2,10,17,2006,True,0,semi-furnished,1.14,False,True
140,l00140,2,1,10,32,1999,False,0,semi-furnished,2.0,False,True
141,l00141,2,2,12,30,2016,True,4,unfurnished,8.0,False,False
142,l00142,4,4,24,37,2021,False,0,furnished,1.38,True,False
143,l00143,3,4,5,31,2013,False,0,unfurnished,1.68,True,True
145,l00145,1,1,16,20,1997,False,0,furnished,2.11,False,False
146,l00146,4,3,16,17,1995,False,0,semi-furnished,3.24,True,True
147,l00147,5,2,18,35,2002,False,0,unfurnished,4.9,False,False
149,l00149,3,3,8,24,1998,False,0,semi-furnished,5.1,True,True
150,l00150,4,1,9,29,2001,False,0,unfurnished,5.55,True,False
152,l00152,3,1,4,23,2010,True,1,semi-furnished,1.46,False,False
153,l00153,1,4,13,19,2020,True,3,furnished,1.65,False,True
154,l00154,3,2,21,39,2020,False,0,semi-furnished,5.81,False,False
156,l00156,1,1,0,14,2010,True,3,semi-furnished,5.72,False,False
158,l00158,3,1,4,30,2018,False,0,semi-furnished,1.46,False,True
160,l00160,4,4,4,17,2006,False,0,semi-furnished,2.42,True,False
161,l00161,3,3,22,23,2019,False,0,semi-furnished,2.74,False,True
162,l00162,4,1,12,33,2002,False,0,semi-furnished,6.96,True,False
163,l00163,4,2,10,22,2023,False,0,furnished,2.33,False,False
164,l00164,2,2,0,11,2020,False,0,semi-furnished,6.44,True,False
165,l00165,4,2,5,31,2008,True,0,unfurnished,5.09,True,True
166,l00166,5,3,8,24,2000,False,0,semi-furnished,3.61,True,True
167,l00167,2,3,4,23,2014,True,1,furnished,1.01,True,False
168,l00168,2,4,21,30,1999,True,3,furnished,1.88,True,False
169,l00169,3,1,21,28,2013,False,0,semi-furnished,7.08,True,True
170,l00170,5,2,9,33,2004,True,2,furnished,5.04,False,False
171,l00171,3,1,21,27,2019,False,0,furnished,1.34,False,True
172,l00172,4,1,9,39,2013,False,0,semi-furnished,0.33,False,False
173,l00173,1,2,6,35,2001,True,2,semi-furnished,3.21,False,False
174,l00174,2,1,9,26,2011,True,4,semi-furnished,4.63,True,False
175,l00175,5,2,17,27,2022,False,0,semi-furnished,5.97,False,True
176,l00176,2,2,21,23,2009,False,0,furnished,7.9,True,False
177,l00177,4,1,13,21,2023,True,2,semi-furnished,4.25,True,False
178,l00178,4,2,16,17,2015,True,4,semi-furnished,2.67,False,False
181,l00181,4,3,10,16,2014,True,3,semi-furnished,1.83,False,False
182,l00182,1,3,17,29,2007,False,0,unfurnished,4.31,False,True
184,l00184,3,1,21,22,2009,False,0,semi-furnished,6.56,True,True
185,l00185,2,1,4,9,2003,True,3,unfurnished,1.54,True,False
186,l00186,4,1,18,23,2023,False,0,furnished,5.66,True,True
187,l00187,1,4,17,27,2003,True,2,unfurnished,3.36,False,False
188,l00188,5,4,9,18,2011,False,0,semi-furnished,5.1,False,False
189,l00189,4,2,7,21,2004,False,0,furnished,1.39,False,True
190,l00190,5,2,15,36,2019,False,0,furnished,7.82,False,False
191,l00191,5,1,9,25,2014,True,1,furnished,4.78,True,False
193,l00193,3,2,5,21,2021,True,0,semi-furnished,7.31,True,True
194,l00194,4,1,13,39,2007,True,3,furnished,2.52,False,False
195,l00195,1,4,10,23,2023,True,3,semi-furnished,0.96,True,True
196,l00196,3,2,15,20,2016,False,0,semi-furnished,6.64,True,True
197,l00197,2,3,2,29,1999,True,4,unfurnished,5.36,True,True
199,l00199,2,3,0,34,2016,False,0,furnished,3.11,False,True
200,l00200,5,2,10,32,2021,True,4,furnished,6.67,False,True
201,l00201,4,3,22,38,2013,True,3,unfurnished,2.32,False,False
202,l00202,4,3,11,35,2004,False,0,unfurnished,3.76,False,True
203,l00203,2,2,4,28,2012,False,0,furnished,2.05,True,False
204,l00204,3,2,24,24,2023,False,0,semi-furnished,3.44,False,True
205,l00205,4,3,22,31,2003,True,4,semi-furnished,3.23,False,False
206,l00206,4,1,8,22,2002,True,2,unfurnished,6.49,True,False
208,l00208,2,3,3,26,1996,False,0,unfurnished,3.63,True,True
212,l00212,2,4,1,40,2002,False,0,furnished,2.03,False,True
213,l00213,4,2,12,27,2016,False,0,semi-furnished,1.19,False,True
215,l00215,3,3,17,32,2013,False,0,unfurnished,6.69,False,False
217,l00217,4,4,7,16,2007,True,0,furnished,5.82,True,False
220,l00220,5,4,6,30,2007,True,4,furnished,5.72,False,True
221,l00221,3,2,7,14,2019,False,0,semi-furnished,1.71,True,False
222,l00222,5,1,1,24,1998,False,0,semi-furnished,6.17,True,False
224,l00224,5,1,10,17,2001,False,0,unfurnished,5.47,True,False
225,l00225,5,4,19,20,2023,False,0,furnished,5.92,True,True
226,l00226,3,4,14,21,2020,False,0,unfurnished,4.66,True,True
227,l00227,2,3,0,22,2003,False,0,furnished,1.1,False,True
228,l00228,4,3,22,22,1999,False,0,furnished,7.3,False,True
229,l00229,1,4,16,27,2002,False,0,furnished,7.95,True,True
230,l00230,3,1,16,40,1998,True,2,furnished,4.43,True,False
231,l00231,5,3,13,32,2017,True,4,semi-furnished,3.09,False,True
232,l00232,5,1,16,28,2007,False,0,semi-furnished,5.77,False,True
233,l00233,2,2,18,23,2022,False,0,unfurnished,6.33,False,True
234,l00234,4,2,13,37,2004,False,0,unfurnished,5.81,False,False
235,l00235,3,2,15,15,2022,False,0,unfurnished,2.42,False,False
236,l00236,3,1,19,23,2016,True,0,unfurnished,0.21,True,True
237,l00237,4,2,3,10,2021,False,0,unfurnished,5.55,False,True
238,l00238,5,1,6,25,1995,False,0,furnished,4.79,False,False
239,l00239,2,2,13,33,2016,False,0,unfurnished,7.94,True,False
240,l00240,3,3,12,33,2022,False,0,furnished,3.67,True,False
241,l00241,1,3,7,38,2019,True,2,furnished,5.91,True,False
242,l00242,2,4,8,19,2003,True,1,unfurnished,6.36,True,True
243,l00243,2,3,0,37,2012,False,0,furnished,7.94,True,False
244,l00244,1,1,9,36,2008,False,0,unfurnished,1.02,False,False
246,l00246,1,1,10,12,1999,True,3,unfurnished,7.74,False,True
247,l00247,5,1,6,38,2016,False,0,semi-furnished,2.51,True,True
248,l00248,2,1,3,11,2014,False,0,unfurnished,4.9,True,True
249,l00249,1,3,1,21,2000,True,3,furnished,5.59,True,False
250,l00250,4,3,8,22,2012,False,0,furnished,2.05,True,True
251,l00251,1,2,20,23,1995,True,3,unfurnished,6.94,False,True
254,l00254,2,1,11,18,2015,False,0,semi-furnished,7.1,False,True
255,l00255,4,3,10,32,2023,False,0,unfurnished,3.2,False,True
256,l00256,4,2,9,18,1997,False,0,furnished,0.47,False,True
257,l00257,3,3,1,20,2009,False,0,semi-furnished,7.4,False,False
258,l00258,5,3,16,16,2002,True,3,unfurnished,2.44,True,False
259,l00259,5,2,5,21,2017,False,0,unfurnished,2.64,False,False
262,l00262,5,4,25,29,2006,False,0,unfurnished,2.72,False,True
264,l00264,3,4,13,28,2018,True,4,semi-furnished,2.39,False,False
265,l00265,1,2,12,39,2012,True,2,furnished,7.21,True,False
269,l00269,3,4,11,26,2005,True,0,semi-furnished,5.9,True,False
270,l00270,5,3,13,25,1999,False,0,semi-furnished,8.0,True,True
273,l00273,4,2,1,16,2004,True,0,semi-furnished,7.67,True,True
274,l00274,1,2,10,37,2019,True,0,semi-furnished,2.35,False,False
276,l00276,3,2,1,21,2002,False,0,furnished,4.01,True,True
277,l00277,3,1,20,26,2012,True,3,semi-furnished,4.6,True,False
278,l00278,2,4,10,21,2007,False,0,unfurnished,7.17,True,True
279,l00279,3,3,0,28,2019,False,0,furnished,1.38,True,False
280,l00280,3,2,1,24,2021,False,0,furnished,7.3,True,False
281,l00281,1,3,5,10,2018,True,2,unfurnished,7.21,False,False
282,l00282,1,2,19,29,2021,False,0,semi-furnished,6.9,True,True
284,l00284,3,2,7,38,2014,True,1,furnished,4.07,True,False
285,l00285,1,1,12,20,2008,False,0,semi-furnished,2.17,False,False
286,l00286,1,3,18,18,1998,True,0,semi-furnished,6.24,True,False
288,l00288,3,1,6,28,2010,False,0,semi-furnished,1.55,False,True
289,l00289,3,2,14,25,2021,True,2,semi-furnished,0.94,False,False
290,l00290,5,1,7,34,2003,True,0,semi-furnished,6.08,False,False
291,l00291,3,1,18,34,2020,False,0,unfurnished,5.09,False,False
292,l00292,5,2,8,31,2015,False,0,furnished,4.92,True,True
293,l00293,3,3,1,12,2012,False,0,unfurnished,3.03,False,True
296,l00296,2,1,21,25,2003,True,1,semi-furnished,7.56,False,False
298,l00298,4,3,3,15,2003,False,0,furnished,7.93,True,False
299,l00299,5,4,4,9,2016,True,1,unfurnished,5.79,False,False
300,l00300,1,1,20,30,2022,True,2,unfurnished,4.59,False,False
301,l00301,1,2,3,32,2002,True,2,unfurnished,4.74,True,True
302,l00302,4,4,9,30,1997,False,0,semi-furnished,7.22,True,True
304,l00304,4,1,3,17,2002,True,3,semi-furnished,0.93,True,True
305,l00305,2,4,6,36,1995,True,0,semi-furnished,3.06,True,False
306,l00306,5,3,17,32,2011,False,0,unfurnished,2.38,True,True
307,l00307,2,2,14,28,2008,True,0,semi-furnished,3.33,False,False
309,l00309,3,2,18,33,2022,True,1,furnished,0.81,False,False
310,l00310,3,4,9,22,1998,False,0,furnished,5.3,True,True
312,l00312,4,4,5,27,2003,False,0,furnished,5.39,False,False
314,l00314,3,2,19,19,2013,True,0,furnished,0.79,False,False
315,l00315,3,2,2,40,2010,False,0,furnished,4.75,True,False
316,l00316,5,4,19,35,2020,False,0,furnished,2.14,True,False
317,l00317,2,2,3,31,2005,True,0,unfurnished,6.31,False,True
319,l00319,4,2,0,39,2013,True,4,unfurnished,3.94,True,False
320,l00320,1,3,20,30,2005,False,0,furnished,7.25,False,False
321,l00321,5,4,19,33,2007,False,0,semi-furnished,1.88,True,True
322,l00322,2,2,23,31,2002,False,0,semi-furnished,4.95,False,False
323,l00323,3,4,22,25,2008,True,4,furnished,1.23,False,True
325,l00325,2,3,25,33,2012,False,0,semi-furnished,0.33,False,True
326,l00326,3,3,4,35,2012,True,0,semi-furnished,2.56,True,False
327,l00327,2,4,16,16,2013,False,0,semi-furnished,7.3,False,False
328,l00328,1,3,25,34,2021,False,0,semi-furnished,5.12,True,False
330,l00330,4,4,6,24,2015,True,0,furnished,7.08,False,True
331,l00331,4,4,17,32,2009,True,0,furnished,1.6,False,False
332,l00332,4,2,10,27,2008,False,0,semi-furnished,7.34,True,True
333,l00333,1,2,2,17,2004,True,4,unfurnished,2.54,True,True
334,l00334,2,2,5,38,1999,True,1,furnished,4.17,False,False
336,l00336,4,4,8,13,2009,False,0,unfurnished,7.02,False,True
337,l00337,3,4,7,14,2013,True,4,semi-furnished,3.01,True,False
338,l00338,1,2,0,28,2012,True,4,unfurnished,1.67,False,False
340,l00340,2,2,13,29,2016,False,0,furnished,1.46,False,False
342,l00342,3,2,8,22,2010,False,0,unfurnished,1.46,False,True
343,l00343,5,3,21,33,1996,False,0,semi-furnished,4.1,False,True
344,l00344,1,1,3,32,2003,True,1,unfurnished,0.59,True,True
345,l00345,5,3,22,34,2013,True,4,furnished,6.55,True,True
346,l00346,5,1,2,18,2007,False,0,unfurnished,1.84,False,False
347,l00347,4,3,8,13,2000,True,3,unfurnished,4.76,False,False
348,l00348,5,3,19,29,1999,False,0,furnished,0.78,False,True
349,l00349,1,2,0,19,2012,False,0,furnished,4.1,True,True
350,l00350,3,3,9,35,2001,False,0,furnished,1.48,True,False
351,l00351,2,1,8,39,2016,True,0,unfurnished,0.49,False,True
352,l00352,5,1,17,28,2018,False,0,furnished,6.63,False,False
353,l00353,4,1,8,14,2005,False,0,semi-furnished,4.24,False,True
355,l00355,3,2,12,19,2007,True,2,semi-furnished,6.63,True,True
356,l00356,2,2,12,18,2019,False,0,semi-furnished,3.99,True,True
357,l00357,3,1,7,7,2022,False,0,unfurnished,0.58,True,True
358,l00358,1,1,6,36,2002,False,0,unfurnished,6.13,True,False
359,l00359,1,2,9,12,2000,True,3,furnished,1.01,False,False
361,l00361,3,2,1,23,2012,False,0,unfurnished,7.67,False,True
362,l00362,1,3,11,37,2000,True,0,furnished,7.13,False,False
363,l00363,2,2,5,15,1995,False,0,semi-furnished,2.02,False,True
364,l00364,5,4,8,28,1998,False,0,unfurnished,1.79,True,False
365,l00365,3,4,25,26,2012,True,2,semi-furnished,0.84,True,False
367,l00367,3,4,19,36,1997,True,1,semi-furnished,2.94,False,False
368,l00368,1,2,7,21,2020,False,0,furnished,7.9,False,False
369,l00369,5,3,24,30,1998,False,0,unfurnished,0.55,True,False
370,l00370,5,1,3,40,2012,True,3,furnished,4.27,True,False
371,l00371,2,1,23,24,2021,False,0,unfurnished,7.3,False,True
377,l00377,2,1,12,24,2009,True,3,unfurnished,0.57,False,True
378,l00378,2,4,24,31,2008,False,0,furnished,7.66,False,True
379,l00379,5,2,12,12,2004,False,0,semi-furnished,4.97,True,False
380,l00380,2,1,3,28,2017,False,0,unfurnished,2.93,True,False
381,l00381,2,3,3,6,1995,False,0,semi-furnished,0.78,False,True
382,l00382,5,1,1,20,1995,False,0,semi-furnished,3.71,True,False
383,l00383,5,4,10,27,1997,False,0,furnished,5.13,True,True
384,l00384,3,3,24,25,2019,True,3,furnished,5.04,False,False
385,l00385,1,4,20,28,2017,False,0,unfurnished,7.39,True,False
386,l00386,4,1,1,11,2010,True,0,semi-furnished,0.81,True,False
387,l00387,2,3,4,26,2005,True,2,semi-furnished,7.02,True,False
388,l00388,5,3,5,6,2019,True,2,unfurnished,7.53,False,True
389,l00389,4,3,5,11,2022,False,0,semi-furnished,4.57,True,False
391,l00391,3,1,13,35,2004,True,2,furnished,0.35,True,False
392,l00392,4,1,1,30,2015,False,0,furnished,1.35,False,False
393,l00393,4,1,10,26,1995,False,0,unfurnished,6.42,False,True
394,l00394,2,3,9,16,2010,True,0,semi-furnished,6.38,False,False
395,l00395,3,3,3,39,2002,False,0,unfurnished,4.09,True,False
396,l00396,3,3,3,23,2019,False,0,furnished,7.38,True,True
398,l00398,4,4,18,32,2021,False,0,unfurnished,1.7,False,True
401,l00401,5,4,15,26,1995,True,3,semi-furnished,0.81,False,True
402,l00402,2,2,24,37,2013,False,0,unfurnished,0.56,False,True
403,l00403,5,4,2,24,2005,True,4,unfurnished,1.67,True,False
404,l00404,4,1,24,25,2005,False,0,semi-furnished,4.14,True,False
405,l00405,2,4,23,28,2009,False,0,unfurnished,0.43,False,True
406,l00406,3,3,22,24,2011,False,0,furnished,0.54,True,False
407,l00407,3,1,6,32,1999,False,0,unfurnished,0.92,True,False
408,l00408,2,1,13,29,2009,False,0,unfurnished,7.01,True,False
409,l00409,3,3,5,18,2007,True,2,furnished,5.03,False,True
411,l00411,3,3,18,34,2020,False,0,unfurnished,3.27,True,True
412,l00412,4,2,22,24,2003,False,0,furnished,0.52,False,True
413,l00413,3,2,9,27,2011,False,0,furnished,4.09,False,False
414,l00414,4,2,25,36,2021,True,4,furnished,3.93,True,False
415,l00415,1,3,4,6,2000,False,0,unfurnished,6.45,False,False
417,l00417,4,3,24,30,2020,False,0,furnished,4.87,False,True
418,l00418,1,4,14,22,2009,True,4,unfurnished,0.54,False,True
419,l00419,2,1,2,31,2011,False,0,unfurnished,6.89,False,True
420,l00420,4,2,8,23,2010,False,0,unfurnished,2.86,True,True
422,l00422,3,4,14,14,2008,True,0,unfurnished,3.93,True,True
423,l00423,4,2,18,18,2000,False,0,semi-furnished,7.69,False,True
424,l00424,2,1,7,27,2012,False,0,unfurnished,6.95,False,False
425,l00425,3,3,21,38,1998,True,1,unfurnished,3.09,False,True
426,l00426,3,4,17,22,2014,True,4,unfurnished,4.87,False,True
427,l00427,1,1,0,8,2000,True,3,semi-furnished,7.46,True,True
428,l00428,5,1,14,20,1995,False,0,unfurnished,0.78,True,False
429,l00429,3,3,18,22,1998,True,1,unfurnished,7.22,True,True
430,l00430,4,4,25,35,2000,False,0,furnished,7.85,True,False
431,l00431,1,3,16,40,1999,False,0,semi-furnished,1.55,False,True
432,l00432,5,3,18,26,2022,False,0,furnished,2.55,False,True
433,l00433,4,4,17,30,1998,False,0,semi-furnished,4.06,True,False
434,l00434,5,2,1,11,2001,True,4,semi-furnished,0.75,False,True
435,l00435,5,2,9,38,2021,True,2,semi-furnished,2.76,True,False
436,l00436,2,2,20,37,1999,True,0,unfurnished,0.27,False,True
438,l00438,2,1,13,14,2017,True,1,furnished,5.96,True,True
439,l00439,2,4,5,39,2020,False,0,furnished,5.99,True,False
440,l00440,5,3,16,22,2008,False,0,unfurnished,5.28,False,True
441,l00441,1,4,2,25,2021,False,0,semi-furnished,5.05,True,True
442,l00442,1,2,25,25,1998,True,3,semi-furnished,4.75,False,True
445,l00445,3,3,10,19,2002,False,0,unfurnished,2.53,True,True
446,l00446,5,2,13,13,2000,True,3,furnished,1.0,True,False
447,l00447,4,2,6,15,2022,False,0,furnished,5.96,False,True
448,l00448,3,1,6,34,2013,False,0,furnished,7.75,False,True
449,l00449,3,3,13,34,1996,False,0,furnished,3.54,False,True
450,l00450,4,1,19,29,2006,False,0,unfurnished,5.51,False,True
451,l00451,3,1,7,10,2003,False,0,unfurnished,1.85,True,False
452,l00452,2,4,4,7,2004,True,1,furnished,6.83,True,False
453,l00453,1,3,8,35,2010,False,0,unfurnished,0.27,True,False
455,l00455,2,4,0,10,2014,False,0,unfurnished,1.37,True,True
456,l00456,1,1,10,10,2000,True,3,unfurnished,1.08,False,True
457,l00457,1,1,4,31,2016,True,0,semi-furnished,4.45,False,False
458,l00458,5,3,12,12,2005,False,0,semi-furnished,0.66,False,True
459,l00459,4,3,21,31,1996,True,1,furnished,5.61,True,False
460,l00460,3,1,16,34,2009,False,0,semi-furnished,1.11,True,False
461,l00461,3,3,12,32,2020,False,0,unfurnished,3.73,True,False
462,l00462,1,4,8,31,2002,True,1,unfurnished,6.99,True,False
463,l00463,1,4,5,27,2015,False,0,semi-furnished,5.95,False,False
464,l00464,4,1,17,18,2013,True,1,furnished,6.85,True,False
465,l00465,3,1,5,23,1995,False,0,unfurnished,4.87,False,False
467,l00467,1,2,4,39,2019,False,0,unfurnished,3.22,True,True
468,l00468,2,4,3,39,2019,False,0,furnished,7.23,True,True
469,l00469,3,1,8,33,2004,False,0,unfurnished,7.95,False,False
470,l00470,2,2,18,37,1998,True,2,furnished,2.9,False,False
471,l00471,4,3,12,38,2023,True,2,semi-furnished,5.16,False,True
472,l00472,3,1,1,39,1997,True,0,semi-furnished,0.84,True,False
475,l00475,1,3,11,21,2002,True,1,unfurnished,4.36,False,False
476,l00476,3,3,4,8,2013,True,3,unfurnished,0.46,False,True
477,l00477,5,2,14,39,1996,True,3,furnished,7.59,True,True
478,l00478,2,1,2,7,1995,True,3,semi-furnished,6.0,True,False
480,l00480,3,2,21,27,2014,True,4,semi-furnished,7.36,False,False
481,l00481,2,2,14,38,2017,False,0,furnished,1.67,False,True
482,l00482,5,1,8,24,1996,True,0,semi-furnished,3.46,False,False
484,l00484,3,1,7,31,2018,False,0,unfurnished,2.09,False,False
485,l00485,5,4,4,6,2004,False,0,unfurnished,1.75,False,False
486,l00486,4,2,8,14,1997,False,0,furnished,1.41,False,True
488,l00488,5,3,15,15,2012,False,0,unfurnished,7.83,False,False
489,l00489,5,3,11,40,2006,False,0,furnished,4.49,True,False
490,l00490,3,2,24,29,2001,True,1,unfurnished,5.46,True,False
492,l00492,2,3,12,22,2012,False,0,furnished,5.97,False,True
493,l00493,4,1,16,36,2022,False,0,unfurnished,7.88,True,True
494,l00494,4,2,15,26,2007,True,4,unfurnished,2.17,True,True
495,l00495,3,1,7,40,2015,True,2,semi-furnished,5.48,False,False
496,l00496,5,1,0,16,1996,False,0,semi-furnished,4.7,True,False
497,l00497,3,1,20,33,2013,False,0,unfurnished,5.91,True,False
498,l00498,3,2,12,38,1997,True,1,unfurnished,7.03,False,False
499,l00499,2,3,25,37,2007,True,2,unfurnished,7.04,True,True
