listing_id,city,property_type,price,sqft,date_listed,agent_id,latitude,longitude
l00022,houston,condo,559947.9922024726,1632.9825852231,2023-09-18,a0032,25.8170831427,-72.269854559
l00023,new york,apartment,1905862.998264031,1398.000161607,2023-03-20,a0041,31.2208542412,-86.5858979497
l00024,los angeles,townhouse,1350760.0032556157,1019.9872054702,2023-07-17,a0025,32.4753814616,-94.8329238418
l00025,phoenix,townhouse,1209632.9979716954,2558.9872529546,2024-05-12,a0036,38.119584411,-114.2548262935
l00026,new york,apartment,1529650.007746305,4897.9929195399,2024-01-20,a0018,48.2727660384,-80.0229214198
l00027,chicago,apartment,715514.0105212211,4060.995356237,2023-03-22,a0030,47.5607962653,-73.0966404624
l00028,new york,condo,1149805.022774446,1963.0086161937,2023-09-17,a0007,39.3433736022,-71.5232101841
l00029,chicago,house,420526.996362138,3562.9998182924,2024-01-26,a0011,27.1258472438,-113.6176070274
l00030,phoenix,apartment,1356076.9997694592,3155.0195611716,2023-09-08,a0002,26.0633829383,-106.1167797261
l00031,new york,condo,1942813.0070935567,3018.992756025,2023-05-03,a0004,34.3268415649,-109.2481520153
l00032,los angeles,apartment,279627.9828940844,4481.0033803764,2024-02-22,a0005,44.8886779321,-104.3088841328
l00033,phoenix,house,369255.9867133461,4392.9944753235,2024-04-29,a0036,31.7483050495,-93.5173568229
l00034,los angeles,condo,1206612.0044058403,3965.9999954926,2024-05-08,a0014,28.3954666469,-78.4792978709
l00035,phoenix,house,1595162.0022436606,3053.00445987,2023-07-24,a0043,26.7793816313,-67.7637654748
l00036,chicago,townhouse,1986626.9982937004,4739.0106064016,2023-08-20,a0008,43.5497248799,-113.4803450916
l00037,los angeles,house,234271.9905708409,3268.9973305329,2023-01-11,a0038,25.1271935888,-77.695743235
l00038,phoenix,house,1334047.9847119623,2303.9924302756,2023-01-04,a0005,41.9517778588,-82.7296416306
l00039,new york,house,241347.9937965968,757.0172819014,2024-03-16,a0022,43.5149827054,-120.7095220006
l00040,new york,house,684009.001745823,4475.9849570381,2023-04-20,a0035,33.6008881471,-118.2906497446
l00041,los angeles,townhouse,609601.9933523665,4373.9867944448,2024-02-18,a0027,45.7091560157,-88.8456795944
l00042,los angeles,apartment,303278.0054376267,4030.9858568846,2023-07-01,a0028,32.9466374501,-121.3245138112
l00043,houston,townhouse,1911596.0243525945,943.006286233,2023-12-11,a0042,32.4683955586,-106.1345042263
l00044,new york,apartment,944358.0060646946,3278.9872164437,2024-02-14,a0007,42.5015929696,-88.0343341326
l00045,los angeles,house,498895.9931935394,4892.9774985391,2023-08-18,a0009,46.2983679408,-97.6086290268
l00046,houston,house,684150.9850024586,4289.00371231,2023-05-08,a0005,27.8670510432,-83.628569518
l00047,houston,apartment,206090.992576832,4928.0180862834,2024-03-04,a0001,43.2642502129,-92.4532509955
l00048,new york,house,448778.9907588365,3829.0255823772,2023-09-06,a0031,43.4900156661,-96.3784651134
l00049,los angeles,townhouse,1992558.993666205,980.00891026,2023-03-26,a0025,37.5204776701,-100.2117923844
l00050,new york,townhouse,656170.9985995548,4226.9820195161,2023-05-27,a0028,25.6161133735,-118.7403679638
l00051,phoenix,townhouse,424631.9953986098,2054.993811594,2023-06-01,a0014,25.761618658,-88.0936904528
l00052,new york,apartment,1668617.9917311152,3069.0072975525,2023-01-30,a0004,32.5388363135,-95.5066937821
l00053,phoenix,townhouse,1154553.014901774,4850.0099341646,2023-03-22,a0004,46.7904185617,-110.5505869598
l00054,phoenix,apartment,1885394.0027651929,2021.9877856247,2023-02-05,a0039,34.8462556861,-81.1700064354
l00055,new york,house,946777.9996189112,1482.0179235242,2024-04-27,a0037,30.4651560146,-120.5369520762
l00056,los angeles,apartment,1398936.992892045,1170.9938551099,2023-08-03,a0043,31.9565278567,-115.6480486895
l00057,phoenix,condo,646864.9940109532,2173.0043767088,2023-12-09,a0046,47.3112410926,-78.1135549335
l00058,chicago,house,657034.0069895955,3742.0086963294,2023-03-09,a0043,40.2086204548,-74.4404303747
l00059,chicago,townhouse,763071.0083974146,1094.0041316585,2023-01-05,a0030,44.2827353761,-114.1803056648
l00060,phoenix,apartment,253638.0102558497,4904.0151293379,2023-04-20,a0033,46.410717685,-93.7183101908
l00061,chicago,house,831924.0092601049,1063.0061280225,2024-03-26,a0016,44.3717180983,-73.0168938696
l00062,chicago,condo,430818.9959883752,4089.0195665673,2024-03-02,a0035,32.6135712144,-118.6064141325
l00063,chicago,apartment,1500609.9979459555,2952.009513741,2024-04-22,a0043,30.4851391176,-100.2187723825
l00064,new york,house,654625.0108844107,1445.000395038,2024-03-31,a0007,44.6358264786,-75.0729908729
l00065,phoenix,house,671155.0073553645,2807.9897481108,2023-11-06,a0014,25.1796892095,-95.3779771634
l00066,chicago,house,1541785.005881715,2661.9948108116,2023-09-16,a0032,35.0154780669,-112.1028739339
l00067,chicago,apartment,293562.991705888,3968.9890394132,2024-02-29,a0018,27.8864520562,-105.4113724066
l00068,new york,apartment,799517.9931058761,1571.0019832297,2023-11-23,a0017,47.6403206866,-106.2632255622
l00069,los angeles,townhouse,1256957.0031506247,4003.0114329256,2023-10-15,a0001,37.4431846551,-84.2371076936
l00070,new york,apartment,1952008.0085800816,1721.0087544017,2023-10-07,a0003,33.7097956441,-68.6340529765
l00071,chicago,house,1001328.0130720296,1544.016407825,2023-01-22,a0020,48.0783802554,-110.3936928378
l00072,chicago,apartment,1985180.9935530408,3431.0139869652,2023-04-18,a0044,36.9180341978,-107.5494182588
l00073,los angeles,apartment,841716.9942317429,3829.0164019267,2024-05-13,a0040,31.8411503329,-122.8598128376
l00074,los angeles,house,1913209.0115324676,1831.0142917551,2024-05-14,a0012,39.6170653256,-95.8650866912
l00075,houston,apartment,476145.995407261,3220.989488528,2024-02-05,a0027,26.2321069187,-108.838532292
l00076,los angeles,condo,433862.0290331536,1384.9975128761,2023-07-15,a0003,46.7956695919,-111.0779120601
l00077,houston,house,518534.0134712281,4269.994796758,2023-06-29,a0020,28.4913285609,-96.6133456793
l00078,los angeles,house,149626.9962423429,2082.0069999196,2023-07-24,a0022,48.6648289016,-110.9442572349
l00079,chicago,apartment,1721783.002609785,2786.0017747648,2023-06-29,a0042,41.1255847944,-80.8146432293
l00080,phoenix,townhouse,1525051.9908902347,4892.0016418842,2023-06-19,a0002,30.7021644315,-82.7792752253
l00081,new york,condo,474483.0059193216,2674.0091474699,2023-01-20,a0007,33.831788759,-88.3319176975
l00082,phoenix,townhouse,824958.0019557737,3068.9764770344,2023-08-12,a0039,40.1998435587,-93.9231491689
l00083,phoenix,apartment,907812.9961061009,2056.9877339818,2023-05-11,a0003,27.1660279182,-76.5359624075
l00084,houston,apartment,1190351.005028891,4909.9949707974,2023-12-18,a0047,32.6985991509,-114.1887685035
l00085,los angeles,condo,1004496.0048382406,1072.9890662084,2024-04-30,a0043,25.9851710636,-90.7365685957
l00086,chicago,condo,1491223.99404185,1520.0108733925,2024-01-04,a0020,41.2509898934,-124.0377071953
l00087,phoenix,condo,1498575.001661819,3845.0155857059,2023-06-17,a0026,37.2809613151,-111.8731909314
l00088,chicago,house,502316.9957604048,3944.0044941681,2023-12-07,a0025,40.4797516464,-114.8868085307
l00089,los angeles,condo,951601.0134466242,4987.9912375584,2024-03-02,a0001,41.5891334092,-102.5621469695
l00090,chicago,condo,540784.9904388748,4020.997939276,2024-02-07,a0038,47.4900813399,-117.0238451143
l00091,phoenix,condo,1075149.9999516662,4118.9890218209,2023-08-15,a0044,33.1790478186,-118.4070442306
l00092,los angeles,townhouse,1764583.0057763518,1890.0005543662,2023-12-04,a0006,47.1793468077,-74.1127530736
l00093,chicago,condo,295847.0159191616,2424.015155872,2023-12-11,a0020,31.1945220753,-86.7028119854
l00094,los angeles,house,409023.0071445631,699.9997482566,2023-01-24,a0016,44.6172960145,-92.8004448798
l00095,houston,apartment,1055076.0157005065,3895.0126157492,2024-03-29,a0041,37.692175107,-110.9823337336
l00096,phoenix,house,1606479.992708546,3644.9978276229,2023-09-11,a0026,27.2396739905,-72.9662032066
l00097,los angeles,house,1475853.00722883,545.0033141921,2024-04-02,a0049,46.5879493862,-88.2823740171
l00098,new york,townhouse,558942.9926215892,1939.9985998331,2024-02-16,a0045,33.1282410502,-104.7492040567
l00099,phoenix,townhouse,205314.9934504401,2541.0056200682,2024-04-14,a0008,42.4166211328,-72.9761705308
l00100,houston,house,1780691.987670497,4305.999765798,2023-12-08,a0034,46.2801888539,-79.7565876275
l00101,phoenix,condo,1683874.001859864,4124.9938719396,2023-11-10,a0047,40.4097109332,-120.114584994
l00102,phoenix,townhouse,1841829.011562143,4988.0010717367,2023-08-17,a0011,28.889570004,-72.8802290781
l00103,houston,townhouse,643564.0040515264,2525.0155911217,2024-03-06,a0041,39.5631084999,-124.4550860874
l00104,chicago,townhouse,1414385.999983373,2459.0002140629,2023-05-21,a0029,27.4311389295,-86.5136836783
l00105,new york,condo,591767.9878689974,2724.9880048664,2023-06-21,a0021,25.1147124504,-115.6697260774
l00106,phoenix,apartment,390190.9955295722,1735.0215210846,2023-04-29,a0025,38.1585249461,-84.8711276886
l00107,los angeles,house,234697.0071264488,3898.0016920104,2023-07-28,a0022,40.6555077884,-111.9987312173
l00108,phoenix,townhouse,971940.990455548,1009.9916332196,2023-04-16,a0027,42.0970367332,-111.2329992824
l00109,houston,apartment,1896696.9978714725,3616.0011322252,2023-09-02,a0001,32.8044107749,-81.7192514889
l00110,chicago,condo,1680151.0067175904,3693.9859848346,2024-03-12,a0027,40.5892742074,-75.7345831368
l00111,phoenix,house,1123890.9990712989,2296.9946207191,2023-05-20,a0028,40.7813935952,-92.0274247021
l00112,houston,apartment,915492.0097004994,3252.9921276148,2023-12-09,a0044,27.2434337153,-103.6720973956
l00113,houston,house,1862668.003069206,4328.0123523842,2024-04-15,a0009,31.3490074133,-110.8563869227
l00114,phoenix,apartment,926319.9969215828,721.9820406736,2023-02-12,a0042,48.350449704,-102.1848510008
l00115,houston,house,1917918.993257518,4281.9944647223,2023-04-04,a0004,46.4164134858,-88.3804900848
l00116,chicago,townhouse,786508.0063288987,2233.0004633734,2023-08-21,a0021,44.0559403811,-95.8440769943
l00117,chicago,townhouse,683546.0066851192,3952.9886578067,2023-05-10,a0006,38.8486012985,-96.4380424877
l00118,houston,apartment,1670816.99636856,4917.9886705435,2023-01-27,a0023,29.6980966801,-83.1017018149
l00119,los angeles,apartment,1738363.992925086,828.9930430389,2024-01-22,a0002,31.7338374306,-123.601931486
l00120,los angeles,house,1859990.0050224245,666.0093419838,2023-11-15,a0010,40.4833797167,-114.7208011246
l00121,los angeles,house,1093128.9841211091,1437.0063530893,2023-10-16,a0014,47.5674451497,-69.6887733145
l00122,houston,condo,1708300.9978369076,3521.0025638572,2023-03-27,a0039,46.934276441,-103.5350632926
l00123,phoenix,apartment,1731146.9882662804,1840.9941069555,2024-05-08,a0020,25.3820501303,-71.1773627666
l00124,new york,apartment,754221.0163723365,3573.9881049624,2023-07-23,a0046,35.2879924641,-68.9396352315
l00125,los angeles,apartment,1341718.983048268,2488.9788216896,2023-02-22,a0045,48.1208731693,-75.5205641853
l00126,chicago,apartment,1769808.999891914,836.0175349973,2023-06-27,a0035,32.0504053089,-102.6854651284
l00127,houston,condo,244611.9881667826,4643.9999194837,2023-11-28,a0022,45.4213331691,-106.6071400008
l00128,new york,townhouse,1824552.0047249724,4515.0145671116,2023-02-24,a0028,29.073848364,-92.7017402366
l00129,chicago,townhouse,1583333.011155822,1753.0088785937,2023-08-11,a0012,47.4847897066,-84.6297147664
l00130,phoenix,condo,1391660.9869196364,4908.0084521431,2024-02-01,a0031,38.6809516482,-119.371389667
l00131,houston,townhouse,1831690.017183493,2697.9967271988,2023-06-15,a0016,39.769632392,-67.5810078667
l00132,new york,condo,1948914.004414438,4191.9838615536,2023-05-05,a0049,28.3557621799,-94.9343042336
l00133,houston,townhouse,805474.005516904,735.0025001099,2023-09-11,a0021,46.058348461,-82.0390349493
l00134,los angeles,townhouse,544846.9960472332,3406.0048388256,2024-02-13,a0017,41.7229083068,-84.2513172591
l00135,chicago,condo,1946163.994673243,2762.9757344839,2023-10-12,a0001,33.635378476,-107.9621436571
l00136,phoenix,house,279543.0083691963,2476.9951260352,2024-01-04,a0027,44.4295560706,-78.0175733102
l00137,houston,house,1548311.985173564,4400.0153800314,2023-11-27,a0046,45.8139443156,-72.041007889
l00138,houston,townhouse,1762900.0153484598,641.0056100565,2023-02-17,a0019,37.2682001645,-95.924341401
l00139,los angeles,townhouse,1550782.006308987,2492.9950698093,2023-06-06,a0043,44.1578034097,-87.3123756644
l00140,phoenix,condo,1092499.008112562,4849.0037975034,2023-06-26,a0028,41.8410094948,-78.8265096041
l00141,phoenix,condo,837799.9853241607,4217.0059480353,2023-05-19,a0020,46.3720691882,-105.3918276109
l00142,chicago,house,353032.988114459,2076.9961876743,2023-06-11,a0008,34.0023169434,-119.5484600323
l00143,phoenix,house,501689.9922512635,2272.0074382279,2024-01-14,a0031,38.9153848531,-122.928607601
l00144,chicago,condo,310817.9905364587,2089.9920858076,2023-06-01,a0015,36.1621660889,-93.5188750062
l00145,chicago,house,733900.989744627,614.9941296977,2023-12-29,a0035,31.8770845403,-90.7244378799
l00146,los angeles,condo,195452.9957649919,946.0088972079,2023-10-11,a0019,25.7277662517,-122.8300646307
l00147,los angeles,townhouse,315141.003383083,599.9774367873,2023-10-21,a0019,44.7435644435,-104.1279367211
l00148,houston,townhouse,1023729.995398589,3290.9962191948,2023-04-05,a0004,28.0342509903,-94.6932441319
l00149,chicago,townhouse,339258.0009425989,1035.0011853086,2023-07-25,a0032,43.4580054443,-112.4820138143
l00150,new york,apartment,418193.9964981157,1721.9966363458,2024-02-20,a0037,39.9590911694,-120.0584445227
l00151,chicago,apartment,620493.992027613,1469.9954118612,2023-10-13,a0049,26.2490500316,-94.1624749075
l00152,houston,house,1726747.0076456612,4780.0165694005,2023-07-14,a0029,37.9823868223,-88.0296254752
l00153,houston,condo,1903900.0072051128,4011.9850074864,2023-06-06,a0037,42.4371623768,-68.3958859539
l00154,phoenix,apartment,1378488.0062006712,1312.0115043629,2024-04-30,a0049,37.3940568767,-106.2787727495
l00155,los angeles,house,655003.0061953461,1165.0107414023,2023-03-22,a0016,44.0962308067,-109.2903086842
l00156,los angeles,apartment,428272.0008569846,521.0147101443,2023-07-29,a0029,35.5206030221,-120.450352358
l00157,phoenix,townhouse,710815.0002094533,767.0051104702,2023-04-29,a0019,25.6067994962,-69.1571126041
l00158,chicago,townhouse,249273.9924751899,2411.9963411564,2024-04-18,a0017,45.0510265255,-84.6278880688
l00159,phoenix,house,991581.0055225646,1440.0047384481,2023-10-06,a0015,34.816928616,-114.9205262791
l00160,los angeles,condo,1833570.9997813185,1664.9962860998,2023-02-06,a0004,28.7640285097,-110.4987853303
l00161,los angeles,condo,1347896.99686003,2864.0004130886,2023-08-13,a0008,38.1687405325,-83.5510356536
l00162,houston,condo,1567446.9895700254,3796.9933618484,2024-04-27,a0018,40.850856526,-108.7669551048
l00163,phoenix,townhouse,1018046.0049537058,1158.0109396933,2023-11-03,a0003,47.9218594958,-82.1943299212
l00164,houston,condo,1366079.003186405,2550.9828025903,2023-01-14,a0006,38.3182114626,-89.5223502124
l00165,los angeles,apartment,1703818.003183117,2707.0008491568,2023-10-23,a0003,35.0780467697,-110.632638269
l00166,los angeles,townhouse,1188345.9901538466,4122.0026066789,2024-04-14,a0018,33.538714333,-81.0448162912
l00167,los angeles,townhouse,1431239.9974813054,4527.9948954456,2024-05-11,a0006,25.3526642133,-118.2534386924
l00168,houston,condo,956367.9859890623,3229.9982664241,2023-06-14,a0043,26.0916669237,-122.6318436416
l00169,new york,house,791647.9820828615,3871.996130825,2023-12-22,a0032,45.5342671527,-84.1748886311
l00170,chicago,townhouse,1806171.007374076,799.9996016406,2023-08-21,a0006,36.3787521119,-119.3309998298
l00171,chicago,condo,777953.995332692,1449.0019971998,2024-05-11,a0050,36.8030908847,-97.5513370479
l00172,houston,apartment,1479212.994860693,4943.9872986791,2023-08-25,a0027,29.1659193422,-99.8316307087
l00173,new york,house,1187245.9968799632,3462.9809711946,2023-11-15,a0049,34.5583533877,-89.268483623
l00174,houston,townhouse,1693814.9837498858,922.0210085796,2023-04-15,a0018,40.2252192248,-122.3570687774
l00175,phoenix,house,704039.9905547743,4088.9887800051,2024-03-26,a0045,33.993965493,-88.7046899684
l00176,houston,apartment,160542.9969940059,2460.0006302937,2023-12-30,a0011,37.0755283206,-75.3217493578
l00177,chicago,apartment,1258154.9961006443,3841.9866559418,2023-02-17,a0015,40.8038628701,-115.5653353711
l00178,new york,townhouse,346343.992514347,1761.0008742146,2023-09-13,a0046,26.6842806411,-87.73653908
l00179,chicago,condo,971345.9937457588,4451.9922483236,2023-08-30,a0016,25.6343010024,-91.0358769841
l00180,houston,house,904437.9895144168,2060.998746059,2024-04-16,a0039,47.5615335108,-91.6310753868
l00181,phoenix,house,1911995.0108554915,1071.0076628309,2023-05-22,a0050,34.3163301626,-87.6832429433
l00182,houston,condo,1751962.9871051617,4659.0019457093,2023-05-17,a0001,35.9949324786,-93.3473250158
l00183,chicago,condo,1856314.008062075,4511.005908282,2024-03-19,a0010,47.6101088785,-102.5842846527
l00184,houston,townhouse,823777.0072965751,3222.9872363382,2023-10-10,a0049,48.0630527727,-72.4865814637
l00185,phoenix,townhouse,1054926.005769147,3135.988996403,2024-03-21,a0013,29.7048177552,-120.9657422502
l00186,los angeles,townhouse,589815.0184050994,3864.9910633338,2023-01-23,a0021,27.4314522347,-123.9403300552
l00187,houston,townhouse,909664.9984257128,1746.0017037756,2023-09-11,a0003,27.2504989809,-85.3882321411
l00188,los angeles,condo,1923892.9960054152,1322.0128675427,2024-03-23,a0029,26.7178699445,-106.5126063212
l00189,new york,townhouse,132185.9848896388,1680.0227550797,2023-07-29,a0042,45.2805509059,-123.6516959065
l00190,los angeles,apartment,1084592.9946077748,2671.0134558025,2023-06-23,a0040,44.5437074357,-108.6579479652
l00191,houston,apartment,1886281.0148641623,3190.9897936555,2024-03-12,a0044,27.8495222882,-84.5879563919
l00192,phoenix,townhouse,764085.9897658034,4496.9923402709,2024-03-22,a0035,40.1003731875,-74.1279708841
l00193,new york,apartment,592347.9962585191,2853.9938560644,2023-04-27,a0048,42.627814549,-78.4060754708
l00194,new york,townhouse,306450.0041692746,1323.0163395068,2023-08-16,a0011,31.7749535396,-114.7123431156
l00195,chicago,apartment,196450.0031427355,3156.9895490819,2024-02-12,a0004,43.0096368251,-78.1918611906
l00196,chicago,condo,886098.0111178876,4028.0074050193,2023-03-16,a0016,48.7799281814,-101.068422523
l00197,phoenix,townhouse,1286836.9961380346,1974.9887754725,2023-03-29,a0012,33.9216809741,-79.9553854673
l00198,new york,townhouse,1399625.999551199,2472.0023464065,2023-09-12,a0038,33.1702546672,-71.0233135421
l00199,los angeles,house,1067100.9878712168,2579.9951951823,2023-08-24,a0017,45.5938184834,-100.1337464048
l00200,new york,townhouse,1989973.032656385,2856.0067302739,2023-12-13,a0035,43.0329509716,-81.2608482946
l00201,los angeles,apartment,1026374.013882626,3329.9800624597,2023-10-28,a0020,27.4658782179,-72.6735738085
l00202,houston,condo,1058054.008024911,2974.0060720867,2023-04-12,a0025,37.1190644601,-77.0526588038
l00203,houston,apartment,597455.9978157021,3624.0161611494,2023-10-20,a0023,32.6866576333,-73.0685129329
l00204,phoenix,condo,1566493.9909857726,2917.9995018877,2023-01-12,a0043,34.3498745941,-124.370091527
l00205,houston,condo,116982.0138415834,901.01138236,2024-04-11,a0039,46.7220719725,-119.704463598
l00206,houston,condo,1726845.9931281314,2384.9888975642,2023-11-07,a0023,32.6524199522,-69.8874495966
l00207,los angeles,house,1402102.991991798,2552.991008887,2023-12-14,a0049,47.8193546297,-91.7490766149
l00208,los angeles,apartment,1994574.0043267969,822.0006384216,2023-06-08,a0029,40.1731476723,-98.9982220974
l00209,new york,condo,1635869.006071708,1575.9949594467,2023-02-16,a0019,32.0103666753,-105.9334963926
l00210,chicago,townhouse,468342.9906204013,2144.0153896942,2023-03-09,a0035,41.1312024165,-81.365159981
l00211,chicago,condo,1841627.0080532408,1846.9913716657,2023-05-12,a0031,44.0069389593,-79.2078229238
l00212,chicago,condo,1786596.996128298,1442.9836113255,2023-08-28,a0005,27.1830366433,-96.3053085677
l00213,los angeles,house,1903845.005131148,3755.0090091588,2024-05-10,a0036,26.3844115418,-93.1121078428
l00214,chicago,apartment,1758180.003749844,3731.9791899364,2023-01-08,a0017,35.6084395336,-73.518821251
l00215,phoenix,apartment,1053755.003630347,3518.9818361757,2023-12-11,a0048,33.4272469699,-118.2272234504
l00216,chicago,townhouse,1824734.0111599537,3542.9921590587,2023-02-25,a0044,28.4476953998,-80.8359607985
l00217,los angeles,townhouse,152479.9929793388,3186.9992646785,2024-04-13,a0040,39.8379245935,-119.1435806496
l00218,los angeles,apartment,1432538.002412386,4302.9984312756,2024-04-10,a0045,27.0198358393,-84.3640443721
l00219,chicago,townhouse,344686.9895097191,1644.9966682194,2023-01-24,a0003,26.7359049655,-77.3270927169
l00220,chicago,townhouse,343521.9967863565,1295.9944244791,2023-05-01,a0035,41.9376404173,-120.2792910674
l00221,los angeles,townhouse,1051358.9980568092,3539.0056732585,2023-12-10,a0048,27.0308544606,-67.7667882138
l00222,phoenix,townhouse,1331741.008552657,1765.0072523273,2024-03-29,a0027,33.983866481,-103.5081372325
l00223,new york,townhouse,1391116.002744346,3843.0045197792,2024-04-25,a0018,44.4975759466,-70.0376944452
l00224,new york,condo,555646.9959939538,4131.9984664985,2023-08-16,a0016,48.6420620948,-81.3061394481
l00225,chicago,apartment,1537974.9970333108,3509.0071121376,2023-10-06,a0042,34.0301399537,-120.1725401948
l00226,chicago,apartment,934959.0058529252,2759.9903526266,2023-04-08,a0008,43.6580420959,-92.6048353306
l00227,houston,apartment,1489925.99301711,2236.9854744908,2023-11-25,a0041,35.1728949897,-72.4340120209
l00228,phoenix,apartment,206069.9944736771,3232.0073012835,2023-05-05,a0009,27.6720793107,-96.4210548293
l00229,phoenix,house,243884.9980427012,2196.9989065683,2023-10-28,a0014,25.2699787322,-97.8056926307
l00230,los angeles,condo,1723967.9912996471,1707.9894250601,2024-02-08,a0039,26.3581538353,-118.1060171161
l00231,new york,condo,1900208.0036765889,1685.0037660821,2023-03-08,a0035,27.8183789785,-87.353048803
l00232,chicago,house,330532.0024516163,711.0023153524,2023-03-09,a0001,42.9137072886,-91.1591937846
l00233,chicago,house,1334913.9940713637,3152.0023355368,2023-01-09,a0012,48.0752564318,-103.2473828117
l00234,chicago,apartment,365831.0106103172,3947.9993262005,2023-09-27,a0008,31.8563292383,-74.614636215
l00235,new york,townhouse,1040100.9860551658,3465.0035397227,2023-09-20,a0038,30.3759697646,-69.137972516
l00236,new york,townhouse,1156625.992410828,2313.9945802846,2024-04-29,a0040,25.2923181186,-68.7318557502
l00237,new york,condo,1060583.99297922,754.9872583417,2023-02-01,a0031,26.0350658836,-73.3029178234
l00238,houston,townhouse,1538849.993828231,1384.0031393801,2023-09-09,a0046,37.6651545529,-67.391038623
l00239,houston,apartment,1985899.0098354872,1160.9767942232,2023-06-14,a0039,26.7676409312,-92.8713608347
l00240,los angeles,apartment,364642.0072964957,2752.0020122682,2023-11-16,a0041,48.2577847042,-94.6567604255
l00241,phoenix,condo,898813.9941211661,4846.0079422156,2023-05-31,a0030,40.1059869261,-84.6636754272
l00242,phoenix,townhouse,307992.0119155757,1436.98741013,2024-03-12,a0042,35.9169078352,-88.6203182059
l00243,phoenix,house,1001922.0061099484,4199.0019278565,2024-03-30,a0015,39.0318843362,-72.7292312956
l00244,houston,condo,1835222.9825133337,4214.9827494112,2023-07-24,a0027,26.0964118001,-108.6989616004
l00245,new york,condo,994987.9891412864,3060.0025184305,2023-12-07,a0017,47.8189608578,-73.3717226452
l00246,chicago,house,1540368.0027264217,4385.0070081375,2023-02-04,a0006,35.9425958861,-89.0235755196
l00247,new york,apartment,1005709.9931616088,1291.0041034938,2024-01-17,a0048,31.6517506019,-114.0898138255
l00248,chicago,house,1266793.9872549002,990.997025243,2023-10-28,a0036,36.1170521514,-104.5100128411
l00249,phoenix,condo,1505119.00435588,1500.993186051,2023-07-30,a0023,39.0093977906,-120.4960223816
l00250,houston,apartment,703201.989787894,3058.9906053537,2023-06-30,a0007,48.3706723582,-67.7993389504
l00251,phoenix,house,424492.0142466737,4450.0261941407,2023-04-25,a0007,41.7447343549,-93.9053379949
l00252,chicago,condo,340931.0089435264,2781.999489666,2023-10-21,a0015,32.4143042199,-77.8043594508
l00253,houston,apartment,1377154.0013516871,2690.0172201397,2023-01-15,a0012,41.436518168,-115.5773259192
l00254,chicago,condo,812662.9994363713,3374.9976441742,2023-01-04,a0012,46.8590504596,-77.3058445192
l00255,los angeles,townhouse,245931.0011047741,1661.9910845003,2024-01-15,a0041,47.7951224497,-82.9227977771
l00256,new york,apartment,1664709.012557955,4844.9868579921,2023-04-21,a0025,39.7138798785,-100.7388223721
l00257,houston,townhouse,814909.9972640267,1788.9972664862,2023-07-09,a0020,47.3820297495,-74.7727301684
l00258,chicago,apartment,1952502.0106992929,929.9897637296,2023-03-21,a0011,26.0880417289,-123.4782391161
l00259,phoenix,apartment,1513413.9866112638,1167.9933839002,2023-05-20,a0029,34.0452387524,-77.9622308398
l00260,houston,townhouse,1373130.0118805857,4121.001552857,2023-08-01,a0018,48.6913965605,-116.2759487029
